Rider,Team,poids,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,points,selected
Van Mechelen Vlad,Bahrain Victorious,6,2,0,0,8,0,0,0,0,0,0,10,0
Delettre Alexandre,Team TotalEnergies,5,0,0,0,9,0,0,0,0,0,0,9,0
McNulty Brandon,UAE Team Emirates-XRG,9,8,0,0,0,0,1,0,0,0,0,9,0
Politt Nils,UAE Team Emirates-XRG,7,8,0,0,0,0,0,0,0,0,0,8,0
Großschartner Felix,UAE Team Emirates-XRG,5,8,0,0,0,0,0,0,0,0,0,8,0
Higuita Sergio,XDS Astana Team,8,0,2,6,0,0,0,0,0,0,0,8,0
Vermeersch Florian,UAE Team Emirates-XRG,8,8,0,0,0,0,0,0,0,0,0,8,0
Tejada Harold,XDS Astana Team,8,0,0,0,0,0,8,0,0,0,0,8,0
Wellens Tim,UAE Team Emirates-XRG,10,8,0,0,0,0,0,0,0,0,0,8,0
Stuyven Jasper,Soudal Quick-Step,9,0,0,0,7,0,0,0,0,0,0,7,0
Verona Carlos,Lidl-Trek,4,7,0,0,0,0,0,0,0,0,0,7,0
Skujins Toms,Lidl-Trek,7,7,0,0,0,0,0,0,0,0,0,7,0
Aranburu Alex,Cofidis,8,0,0,0,0,0,0,0,0,7,0,7,0
Gee-West Derek,Lidl-Trek,14,7,0,0,0,0,0,0,0,0,0,7,0
Cattaneo Mattia,Red Bull-BORA-hansgrohe,7,6,0,0,0,0,0,0,0,0,0,6,0
Tratnik Jan,Red Bull-BORA-hansgrohe,7,6,0,0,0,0,0,0,0,0,0,6,0
Denz Nico,Red Bull-BORA-hansgrohe,5,6,0,0,0,0,0,0,0,0,0,6,0
Engelhardt Felix,Team Jayco-AlUla,4,1,5,0,0,0,0,0,0,0,0,6,0
Hindley Jai,Red Bull-BORA-hansgrohe,14,6,0,0,0,0,0,0,0,0,0,6,0
Van Gils Maxim,Red Bull-BORA-hansgrohe,9,6,0,0,0,0,0,0,0,0,0,6,0
van Dijke Tim,Red Bull-BORA-hansgrohe,8,6,0,0,0,0,0,0,0,0,0,6,0
Slock Liam,Lotto-Intermarché,4,0,0,0,0,0,0,0,5,0,0,5,0
Riccitello Matthew,Decathlon CMA CGM Team,11,5,0,0,0,0,0,0,0,0,0,5,0
van den Broek Frank,Team Picnic PostNL,7,0,0,0,5,0,0,0,0,0,0,5,0
Paret-Peintre Aurélien,Decathlon CMA CGM Team,7,5,0,0,0,0,0,0,0,0,0,5,0
Hoole Daan,Decathlon CMA CGM Team,6,5,0,0,0,0,0,0,0,0,0,5,0
Bol Cees,Decathlon CMA CGM Team,7,5,0,0,0,0,0,0,0,0,0,5,0
Prodhomme Nicolas,Decathlon CMA CGM Team,7,5,0,0,0,0,0,0,0,0,0,5,0
Marsman Tim,Alpecin-Premier Tech,3,4,0,0,0,0,0,0,0,0,0,4,0
Dillier Silvan,Alpecin-Premier Tech,4,4,0,0,0,0,0,0,0,0,0,4,0
Uijtdebroeks Cian,Movistar Team,10,0,4,0,0,0,0,0,0,0,0,4,0
Pacher Quentin,Groupama-FDJ United,6,3,0,0,0,0,0,0,1,0,0,4,0
Wright Fred,Pinarello-Q36.5 Pro Cycling Team,7,0,0,0,0,0,0,2,2,0,0,4,0
Rickaert Jonas,Alpecin-Premier Tech,6,4,0,0,0,0,0,0,0,0,0,4,0
Planckaert Edward,Alpecin-Premier Tech,6,4,0,0,0,0,0,0,0,0,0,4,0
Verstrynge Emiel,Alpecin-Premier Tech,9,4,0,0,0,0,0,0,0,0,0,4,0
Zimmermann Georg,Lotto-Intermarché,6,0,0,0,4,0,0,0,0,0,0,4,0
Germani Lorenzo,Groupama-FDJ United,4,3,0,0,0,0,0,0,0,0,0,3,0
Hermans Quinten,Pinarello-Q36.5 Pro Cycling Team,7,0,0,0,3,0,0,0,0,0,0,3,0
Costiou Ewen,Groupama-FDJ United,7,3,0,0,0,0,0,0,0,0,0,3,0
Martin-Guyonnet Guillaume,Groupama-FDJ United,9,3,0,0,0,0,0,0,0,0,0,3,0
Braz Afonso Clément,Groupama-FDJ United,5,3,0,0,0,0,0,0,0,0,0,3,0
Berthet Clément,Groupama-FDJ United,1000,3,0,0,0,0,0,0,0,0,0,3,0
Gradek Kamil,Bahrain Victorious,4,2,0,0,0,0,0,0,0,0,0,2,0
Nicolau Joel,Caja Rural-Seguros RGA,3,0,0,0,2,0,0,0,0,0,0,2,0
Stannard Robert,Bahrain Victorious,4,2,0,0,0,0,0,0,0,0,0,2,0
Caruso Damiano,Bahrain Victorious,7,2,0,0,0,0,0,0,0,0,0,2,0
Teunissen Mike,XDS Astana Team,7,0,0,0,0,2,0,0,0,0,0,2,0
Mohoric Matej,Bahrain Victorious,9,2,0,0,0,0,0,0,0,0,0,2,0
Tiberi Antonio,Bahrain Victorious,14,2,0,0,0,0,0,0,0,0,0,2,0
Gate Aaron,XDS Astana Team,5,0,0,0,0,1,0,1,0,0,0,2,0
Durbridge Luke,Team Jayco-AlUla,4,1,0,0,0,0,0,0,0,0,0,1,0
Schmid Mauro,Team Jayco-AlUla,7,1,0,0,0,0,0,0,0,0,0,1,0
Izagirre Ion,Cofidis,7,0,0,0,1,0,0,0,0,0,0,1,0
Plapp Luke,Team Jayco-AlUla,8,1,0,0,0,0,0,0,0,0,0,1,0
O'Connor Ben,Team Jayco-AlUla,12,1,0,0,0,0,0,0,0,0,0,1,0
O'Brien Kelland,Team Jayco-AlUla,1000,1,0,0,0,0,0,0,0,0,0,1,0
Parra José Félix,Caja Rural-Seguros RGA,5,0,0,0,0,0,0,0,0,0,0,0,0
Romo Javier,Movistar Team,8,0,0,0,0,0,0,0,0,0,0,0,0
Balderstone Abel,Caja Rural-Seguros RGA,8,0,0,0,0,0,0,0,0,0,0,0,0
Delbove Joris,Team TotalEnergies,3,0,0,0,0,0,0,0,0,0,0,0,0
Bennett George,NSN Cycling Team,6,0,0,0,0,0,0,0,0,0,0,0,0
Johannessen Anders Halland,Uno-X Mobility,6,0,0,0,0,0,0,0,0,0,0,0,0
Skaarseth Anders,Uno-X Mobility,4,0,0,0,0,0,0,0,0,0,0,0,0
Eenkhoorn Pascal,Soudal Quick-Step,5,0,0,0,0,0,0,0,0,0,0,0,0
Steinhauser Georg,EF Education-EasyPost,6,0,0,0,0,0,0,0,0,0,0,0,0
Dhondt Robbe,Team Picnic PostNL,3,0,0,0,0,0,0,0,0,0,0,0,0
Berwick Sebastian,Caja Rural-Seguros RGA,7,0,0,0,0,0,0,0,0,0,0,0,0
Vervaeke Louis,Soudal Quick-Step,6,0,0,0,0,0,0,0,0,0,0,0,0
Hirschi Marc,Tudor Pro Cycling Team,7,0,0,0,0,0,0,0,0,0,0,0,0
Craps Lars,Lotto-Intermarché,4,0,0,0,0,0,0,0,0,0,0,0,0
Harper Chris,Pinarello-Q36.5 Pro Cycling Team,8,0,0,0,0,0,0,0,0,0,0,0,0
Meurisse Xandro,Pinarello-Q36.5 Pro Cycling Team,6,0,0,0,0,0,0,0,0,0,0,0,0
Guernalec Thibault,Team TotalEnergies,4,0,0,0,0,0,0,0,0,0,0,0,0
Oliveira Nelson,Movistar Team,5,0,0,0,0,0,0,0,0,0,0,0,0
Vercher Mattéo,Team TotalEnergies,5,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Benjamin,Cofidis,6,0,0,0,0,0,0,0,0,0,0,0,0
van Baarle Dylan,Soudal Quick-Step,8,0,0,0,0,0,0,0,0,0,0,0,0
Alaphilippe Julian,Tudor Pro Cycling Team,9,0,0,0,0,0,0,0,0,0,0,0,0
Paret-Peintre Valentin,Soudal Quick-Step,9,0,0,0,0,0,0,0,0,0,0,0,0
Märkl Niklas,Team Picnic PostNL,4,0,0,0,0,0,0,0,0,0,0,0,0
Le Berre Mathis,Team TotalEnergies,5,0,0,0,0,0,0,0,0,0,0,0,0
Asgreen Kasper,EF Education-EasyPost,7,0,0,0,0,0,0,0,0,0,0,0,0
Walker Max,EF Education-EasyPost,4,0,0,0,0,0,0,0,0,0,0,0,0
Valgren Michael,EF Education-EasyPost,6,0,0,0,0,0,0,0,0,0,0,0,0
Healy Ben,EF Education-EasyPost,10,0,0,0,0,0,0,0,0,0,0,0,0
Heßmann Michel,Movistar Team,4,0,0,0,0,0,0,0,0,0,0,0,0
Askey Lewis,NSN Cycling Team,7,0,0,0,0,0,0,0,0,0,0,0,0
Abrahamsen Jonas,Uno-X Mobility,7,0,0,0,0,0,0,0,0,0,0,0,0
Vinokurov Nicolas,XDS Astana Team,3,0,0,0,0,0,0,0,0,0,0,0,0
Page Hugo,Cofidis,6,0,0,0,0,0,0,0,0,0,0,0,0
Rubio Einer,Movistar Team,8,0,0,0,0,0,0,0,0,0,0,0,0
Barguil Warren,Team Picnic PostNL,6,0,0,0,0,0,0,0,0,0,0,0,0
Degenkolb John,Team Picnic PostNL,6,0,0,0,0,0,0,0,0,0,0,0,0
Azparren Xabier,Pinarello-Q36.5 Pro Cycling Team,4,0,0,0,0,0,0,0,0,0,0,0,0
Howson Damien,Pinarello-Q36.5 Pro Cycling Team,7,0,0,0,0,0,0,0,0,0,0,0,0
Cepeda Jefferson,Movistar Team,7,0,0,0,0,0,0,0,0,0,0,0,0
Charmig Anthon,Uno-X Mobility,7,0,0,0,0,0,0,0,0,0,0,0,0
Louvel Matis,NSN Cycling Team,5,0,0,0,0,0,0,0,0,0,0,0,0
Van Moer Brent,Pinarello-Q36.5 Pro Cycling Team,6,0,0,0,0,0,0,0,0,0,0,0,0
Biesterbos Frits,Team Picnic PostNL,3,0,0,0,0,0,0,0,0,0,0,0,0
Storer Michael,Tudor Pro Cycling Team,13,0,0,0,0,0,0,0,0,0,0,0,0
Oldani Stefano,Caja Rural-Seguros RGA,5,0,0,0,0,0,0,0,0,0,0,0,0
Biermans Jenthe,Cofidis,7,0,0,0,0,0,0,0,0,0,0,0,0
Otruba Jakub,Caja Rural-Seguros RGA,3,0,0,0,0,0,0,0,0,0,0,0,0
Neilands Krists,NSN Cycling Team,7,0,0,0,0,0,0,0,0,0,0,0,0
Cort Magnus,Uno-X Mobility,9,0,0,0,0,0,0,0,0,0,0,0,0
Kirsch Alex,Cofidis,6,0,0,0,0,0,0,0,0,0,0,0,0
Stewart Jake,NSN Cycling Team,7,0,0,0,0,0,0,0,0,0,0,0,0
de Kleijn Arvid,Tudor Pro Cycling Team,8,0,0,0,0,0,0,0,0,0,0,0,0
van den Berg Julius,Team Picnic PostNL,5,0,0,0,0,0,0,0,0,0,0,0,0
Velasco Simone,XDS Astana Team,6,0,0,0,0,0,0,0,0,0,0,0,0
Allegaert Piet,Cofidis,7,0,0,0,0,0,0,0,0,0,0,0,0
Van Lerberghe Bert,Soudal Quick-Step,5,0,0,0,0,0,0,0,0,0,0,0,0
Trentin Matteo,Tudor Pro Cycling Team,8,0,0,0,0,0,0,0,0,0,0,0,0
Ballerini Davide,XDS Astana Team,8,0,0,0,0,0,0,0,0,0,0,0,0
Haller Marco,Tudor Pro Cycling Team,6,0,0,0,0,0,0,0,0,0,0,0,0
De Lie Arnaud,Lotto-Intermarché,1000,0,0,0,0,0,0,0,0,0,0,0,0
